epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,386.312,1.65333,2.53489,3.30832,1.2643,0.60083,0.5696,0.56203,0.31149,0.59327,0.56874,0.5525,0.30303,1.37455,2.12648,10.1116,1.11002,0.00066618,0.00066618,0.00066618
2,773.105,1.63641,2.44334,1.87938,1.2881,0.60245,0.64064,0.61801,0.35673,0.60201,0.6361,0.60868,0.33713,1.38362,2.24512,11.9017,1.10854,0.00128886,0.00128886,0.00128886
3,1158.41,1.61966,2.39127,1.79077,1.27933,0.63992,0.60182,0.65215,0.38346,0.64092,0.60602,0.64884,0.37127,1.28907,1.99478,10.4943,1.07669,0.00186755,0.00186755,0.00186755
4,1542.96,1.57215,2.31561,1.66345,1.25327,0.60455,0.61462,0.62902,0.36666,0.60631,0.60242,0.61924,0.35169,1.24778,1.9381,10.3124,1.06438,0.001802,0.001802,0.001802
5,1926.88,1.53984,2.25289,1.64623,1.24017,0.6556,0.64003,0.68179,0.41548,0.65369,0.63817,0.67467,0.39947,1.21617,1.93634,13.6347,1.06978,0.001736,0.001736,0.001736
6,2308.47,1.49607,2.20765,1.574,1.2239,0.6812,0.66419,0.71935,0.44278,0.67424,0.66255,0.70911,0.42646,1.18334,1.84989,6.07259,1.00724,0.00167,0.00167,0.00167
7,2690.56,1.48827,2.15354,1.48189,1.20867,0.68368,0.6646,0.71374,0.43866,0.68189,0.65923,0.70322,0.41832,1.28008,1.83403,5.63438,1.04994,0.001604,0.001604,0.001604
8,3072.65,1.4469,2.11649,1.41487,1.19764,0.67614,0.66625,0.71501,0.45546,0.67279,0.66295,0.7071,0.43737,1.23186,1.80859,7.77907,1.09224,0.001538,0.001538,0.001538
9,3455.24,1.44462,2.082,1.39516,1.19396,0.6841,0.69062,0.74438,0.46057,0.6784,0.68401,0.72981,0.4413,1.1836,1.77379,9.66537,1.01653,0.001472,0.001472,0.001472
10,3837.97,1.42631,2.07625,1.40156,1.18574,0.6799,0.69971,0.74694,0.46837,0.6753,0.69326,0.73571,0.44988,1.17213,1.79984,10.142,1.00747,0.001406,0.001406,0.001406
